SMILES,MW,LogP,HBA,HBD,TPSA,NumDoubleBonds,NumNitroGroups,NumAmineGroups,NumHydroxylGroups,NumSulfonateGroups,NumEsterGroups,NumKetoneGroups,NumAldehydeGroups,charge,Toxicity Value
OC[C@@H](O)[C@@H](O)[C@H](O)[C@H](O)CO,182.172,-3.5854000000000004,6.0,6.0,121.38000000000001,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0
O=[N+]([O-])OCC(CO[N+](=O)[O-])O[N+](=O)[O-],227.08499999999998,-1.0200999999999996,9.0,0.0,157.11,3.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
S=c1nc[nH]c2nc[nH]c12,152.182,1.0154899999999998,3.0,2.0,57.36,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
Oc1c(Cl)cc(Cl)c(Cl)c1Cc1c(O)c(Cl)cc(Cl)c1Cl,406.90700000000004,6.609000000000001,2.0,2.0,40.46,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0
O=c1[nH]cc(F)c(=O)[nH]1,130.078,-0.7977000000000001,2.0,2.0,65.72,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
NS(=O)(=O)c1cc2c(cc1Cl)NCNS2(=O)=O,297.74500000000006,-0.35129999999999967,5.0,3.0,118.35999999999999,4.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0
O=C(Nc1ccc([N+](=O)[O-])cc1Cl)c1cc(Cl)ccc1O,327.12300000000005,3.859500000000001,4.0,2.0,92.47,2.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0
OC(Cn1cncn1)(Cn1cncn1)c1ccc(F)cc1F,306.276,0.7357999999999993,7.0,1.0,81.64999999999999,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1
Nc1ccc(S(=O)(=O)c2ccc(N)cc2)cc1,248.30700000000002,1.6838000000000002,4.0,2.0,86.18,2.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1
Oc1ccc(O)cc1,110.11199999999998,1.0977999999999999,2.0,2.0,40.46,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,1
O=C1CN(/N=C/c2ccc([N+](=O)[O-])o2)C(=O)N1,238.15899999999996,0.07349999999999995,6.0,1.0,118.05000000000001,4.0,1.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,1
NC(=O)N/N=C/c1ccc([N+](=O)[O-])o1,198.13799999999998,0.19000000000000006,5.0,2.0,123.76,3.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,1
Oc1cccc2cccnc12,145.16099999999997,1.9403999999999995,2.0,1.0,33.120000000000005,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0
NC(=O)OCC(COC(N)=O)c1ccccc1,238.24300000000002,0.9607999999999993,4.0,2.0,104.64000000000001,2.0,0.0,2.0,0.0,0.0,2.0,2.0,2.0,0.0,1
O=C([O-])c1ccccc1,121.11499999999995,0.05009999999999992,2.0,0.0,40.129999999999995,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,-1.0,0
Nc1nc(N)c2nc(-c3ccccc3)c(N)nc2n1,253.26900000000003,0.8334000000000001,7.0,3.0,129.62,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0
O=C1Nc2ccc(Cl)cc2C(c2ccccc2)=NC1O,286.718,2.4479,3.0,2.0,61.69,2.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0
O=C(C1CCCCC1)N1CC(=O)N2CCc3ccccc3C2C1,312.41300000000007,2.5349000000000004,2.0,0.0,40.620000000000005,2.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,0
O=P1(NCCCl)OCCCN1CCCl,261.08899999999994,1.884,2.0,1.0,41.57,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
S=P(N1CC1)(N1CC1)N1CC1,189.22399999999996,0.15770000000000017,1.0,0.0,9.03,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
NNC(=O)c1ccncc1,137.142,-0.3149000000000006,3.0,2.0,68.00999999999999,1.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,1
O=P1(N(CCCl)CCCl)NCCCO1,261.089,1.884,2.0,1.0,41.57000000000001,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
O=C1CCO1,72.063,-0.06669999999999998,2.0,0.0,26.3,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,1
Nc1ncn([C@@H]2O[C@H](CO)[C@@H](O)[C@H]2O)c(=O)n1,244.207,-3.1679999999999997,9.0,4.0,143.72000000000003,1.0,0.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,1
C[C@@H]1C[C@H]2[C@@H]3CCC4=CC(=O)C=C[C@]4(C)[C@@]3(F)[C@@H](O)C[C@]2(C)[C@@]1(O)C(=O)CO,392.4670000000002,1.8957000000000002,5.0,3.0,94.83,4.0,0.0,0.0,3.0,0.0,0.0,2.0,2.0,0.0,0
CC1(C)O[C@@H]2C[C@H]3[C@@H]4CCC5=CC(=O)C=C[C@]5(C)[C@@]4(F)[C@@H](O)C[C@]3(C)[C@]2(C(=O)CO)O1,434.50400000000025,2.4188000000000005,6.0,2.0,93.06,4.0,0.0,0.0,2.0,0.0,0.0,2.0,2.0,0.0,1
C[C@]12C[C@H](O)[C@H]3[C@@H](CCC4=CC(=O)C=C[C@@]43C)[C@@H]1CC[C@]2(O)C(=O)CO,360.4500000000002,1.5575999999999999,5.0,3.0,94.83,4.0,0.0,0.0,3.0,0.0,0.0,2.0,2.0,0.0,1
C#C[C@]1(O)CC[C@H]2[C@@H]3CCc4cc(O)ccc4[C@H]3CC[C@@]21C,296.4100000000001,3.6126000000000023,2.0,2.0,40.46,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,1
C[C@]12C[C@H](O)[C@H]3[C@@H](CCC4=CC(=O)CC[C@@]43C)[C@@H]1CC[C@]2(O)C(=O)CO,362.4660000000002,1.7815999999999996,5.0,3.0,94.83,3.0,0.0,0.0,3.0,0.0,0.0,2.0,2.0,0.0,0
CC(O)C(=O)[O-],89.07,-1.8829000000000002,3.0,1.0,60.36,1.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,-1.0,0
CNNCc1ccc(C(=O)NC(C)C)cc1,221.304,1.0487999999999995,3.0,3.0,53.16,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1
C#C[C@]1(OC(C)=O)CC[C@H]2[C@@H]3CCC4=CC(=O)CC[C@@H]4[C@H]3CC[C@@]21C,340.46300000000014,4.0633000000000035,3.0,0.0,43.370000000000005,3.0,0.0,0.0,0.0,0.0,1.0,2.0,2.0,0.0,0
CC(=O)Oc1ccccc1C(=O)O,180.15899999999996,1.3101,3.0,1.0,63.60000000000001,2.0,0.0,0.0,1.0,0.0,2.0,2.0,2.0,0.0,1
CC/C(=C(/CC)c1ccc(O)cc1)c1ccc(O)cc1,268.356,4.828600000000005,2.0,2.0,40.46,1.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0
CC1(C)S[C@@H]2[C@H](NC(=O)COc3ccccc3)C(=O)N2[C@H]1C(=O)[O-],349.3880000000001,-0.6375999999999995,6.0,1.0,98.77000000000001,3.0,0.0,0.0,0.0,0.0,1.0,3.0,3.0,-1.0,1
CN1C(=O)OC(C)(C)C1=O,143.142,0.37359999999999993,3.0,0.0,46.61,2.0,0.0,0.0,0.0,0.0,1.0,2.0,2.0,0.0,0
